X,Y,OBJECTID,Station,State,Lat,Long,Chge95Pday
-8563964.5267,4726013.8375,1,USC00180700,MD,39.0303,-76.9314,0
-8466059.0052,4752760.8267,2,USC00181750,MD,39.2167,-76.0519,0
-8549804.6827,4717218.861,3,USC00183675,MD,38.9689,-76.8042,0
-8560502.4899,4733812.5156,4,USC00185111,MD,39.0847,-76.9003,0
-8424904.1701,4609447.1685,5,USC00187330,MD,38.2122,-75.6822,0
-8481521.284,4680973.5104,6,USC00187806,MD,38.7153,-76.1908,0
-8414551.4552,4631118.2633,7,USC00188000,MD,38.365,-75.5892,0
-8597694.3662,5176182.0552,8,USC00300023,NY,42.1014,-77.2344,0
-8656014.6672,5198503.3717,9,USC00300085,NY,42.25,-77.7583,9.26106150285
-8340802.2997,5268950.935,10,USC00301752,NY,42.7167,-74.9267,-7.87484909457
-8480686.416,5251285.8955,11,USC00301799,NY,42.6,-76.1833,0
-8553322.403,5175927.0024,12,USC00302610,NY,42.0997,-76.8358,-14.3915492958
-8429824.5263,5287909.2332,13,USC00305512,NY,42.8417,-75.7264,0
-8406814.7774,5237941.7905,14,USC00306085,NY,42.5117,-75.5197,0
-8642778.7572,4856545.8583,15,USC00361354,PA,39.9353,-77.6394,0
-8512234.3523,4914496.5783,16,USC00364896,PA,40.3333,-76.4667,0
-8444507.564,5138702.2328,17,USC00365915,PA,41.8511,-75.8583,0
-8556205.5684,4980402.6129,18,USC00367931,PA,40.7831,-76.8617,0
-8668137.3517,4981902.2963,19,USC00368449,PA,40.7933,-77.8672,-7.2615694165
-8509607.2222,5123769.2906,20,USC00368905,PA,41.7511,-76.4431,0
-8614703.9865,5116192.263,21,USC00369408,PA,41.7003,-77.3872,0
-8543771.171,4853845.8849,22,USC00369933,PA,39.9167,-76.75,0
-8741085.0165,4584061.4572,23,USC00441593,VA,38.0328,-78.5225,0
-8787037.7194,4643861.3975,24,USC00442208,VA,38.4547,-78.9353,0
-8725934.4245,4484701.9564,25,USC00442941,VA,37.3264,-78.3864,0
-8602492.2031,4480894.9129,26,USC00444101,VA,37.2992,-77.2775,0
-8886824.5382,4578988.955,27,USC00444128,VA,37.9969,-79.8317,0
-8843064.8315,4547929.9125,28,USC00444876,VA,37.7767,-79.4386,0
-8648723.2138,4734257.1023,29,USC00444909,VA,39.0878,-77.6928,0
-8696312.3049,4612281.094,30,USC00446712,VA,38.2322,-78.1203,-10.8132796781
-8803635.4585,4603356.8198,31,USC00448062,VA,38.1692,-79.0844,-12.8643863179
-8538639.3235,4481244.7709,32,USC00449151,VA,37.3017,-76.7039,0
-8734995.8445,4706915.2293,33,USC00449263,VA,38.8969,-78.4678,-11.6824949698
-8458611.7507,5190941.9067,34,USW00004725,NY,42.1997,-75.985,0
-8681183.9896,4779406.0286,35,USW00013734,WV,39.4019,-77.9844,0
-8481677.1201,4425637.6423,36,USW00013737,VA,36.9033,-76.1922,0
-8562884.7435,5048296.0862,37,USW00014778,PA,41.2433,-76.9217,0
